,link,Product_Name,RAM,SSD,Price,Previous_Price,Promote,Gift,Status
18,https://www.thegioididong.com/laptop/asus-vivobook-k3605zf-i5-rp745w?utm_flashsale=1,Trả góp 0%     Tặng Office              Asus Gaming Vivobook K3605ZF i5 12500H (RP745W)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 17.490.000₫  20.990.000₫ -16%  Quà 1.090.000₫,16 GB,512 GB,17.490.000,20.990.000,-16%,1.090.000,0
19,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,Trả góp 0%     Tặng Office              HP 245 G10 R5 7530U (A20TDPT)           RAM 8 GB SSD 512 GB  12.190.000₫  14.590.000₫ -16%  Quà 1.190.000₫,8 GB,512 GB,12.190.000,14.590.000,-16%,1.190.000,0
20,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15alc7-r7-82r400c1vn,Trả góp 0%     Tặng Office              Lenovo Ideapad 1 15ALC7 R7 5700U (82R400C1VN)           RAM 16 GB SSD 512 GB  12.790.000₫  14.490.000₫ -11%  Quà 1.090.000₫,16 GB,512 GB,12.790.000,14.490.000,-11%,1.090.000,0
21,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001,Trả góp 0%     Tặng Office              Acer Aspire Lite 14 51M 36MH i3 1215U (NX.KTVSV.001)           RAM 8 GB SSD 256 GB  9.490.000₫  10.490.000₫ -9%  Quà 1.090.000₫,8 GB,256 GB,9.490.000,10.490.000,-9%,1.090.000,0
22,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-628vn,Trả góp 0%     Tặng Office              MSI Modern 15 B12MO i5 1235U (628VN)           RAM 16 GB SSD 512 GB  12.490.000₫  14.990.000₫ -16%  Quà 1.090.000₫,16 GB,512 GB,12.490.000,14.990.000,-16%,1.090.000,0
23,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w?utm_flashsale=1,Trả góp 0%     Tặng Office              Asus Vivobook X1404ZA i3 1215U (NK246W)           RAM 8 GB SSD 512 GB  Online giá rẻ quá 10.190.000₫  11.990.000₫ -15%  Quà 1.090.000₫,8 GB,512 GB,10.190.000,11.990.000,-15%,1.090.000,0
24,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,Trả góp 0%                  MacBook Air 13 inch M2           RAM 8 GB SSD 256 GB  Online giá rẻ quá 24.090.000₫  24.990.000₫,8 GB,256 GB,24.090.000,24.990.000,N/A,N/A,0
25,https://www.thegioididong.com/laptop/msi-gf63-thin-12ve-i5-460vn,Trả góp 0%     Tặng Office              MSI Gaming GF63 Thin 12VE i5 12450H (460VN)           RAM 16 GB SSD 512 GB  18.990.000₫  22.990.000₫ -17%  Quà 1.090.000₫,16 GB,512 GB,18.990.000,22.990.000,-17%,1.090.000,0
26,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00d9vn?utm_flashsale=1,Trả góp 0%     Tặng Office              Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00D9VN)           RAM 24 GB SSD 512 GB  Online giá rẻ quá 22.190.000₫  25.490.000₫ -12%  Quà 990.000₫,24 GB,512 GB,22.190.000,25.490.000,-12%,N/A,0
27,https://www.thegioididong.com/laptop/dell-vostro-3520-i5-71030559,Trả góp 0%                  Dell Vostro 3520 i5 1235U (71030559)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 16.390.000₫  16.990.000₫  Quà 100.000₫,16 GB,512 GB,16.390.000,16.990.000,N/A,N/A,0
28,https://www.thegioididong.com/laptop/acer-aspire-lite-14-51m-36pn-i3-nxktwsv001,Trả góp 0%     Tặng Office              Acer Aspire Lite 14 51M 36PN i3 1215U (NX.KTWSV.001)           RAM 8 GB SSD 512 GB  9.990.000₫  10.990.000₫ -9%  Quà 1.090.000₫,8 GB,512 GB,9.990.000,10.990.000,-9%,1.090.000,0
29,https://www.thegioididong.com/laptop/hp-victus-15-fa1139tx-i5-8y6w3pa,Trả góp 0%     Tặng Office              HP Gaming VICTUS 15 fa1139TX i5 12450H (8Y6W3PA)           RAM 16 GB SSD 512 GB  19.490.000₫  24.590.000₫ -20%  Quà 1.190.000₫,16 GB,512 GB,19.490.000,24.590.000,-20%,1.190.000,0
30,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a2pa,Trả góp 0%     Tặng Office              HP 240 G8 i3 1115G4 (6L1A2PA)           RAM 8 GB SSD 512 GB  9.690.000₫  12.790.000₫ -24%  Quà 1.190.000₫,8 GB,512 GB,9.690.000,12.790.000,-24%,1.190.000,0
31,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa,Trả góp 0%     Tặng Office              HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA)           RAM 16 GB SSD 512 GB  18.990.000₫  21.290.000₫ -10%  Quà 1.190.000₫,16 GB,512 GB,18.990.000,21.290.000,-10%,1.190.000,0
32,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-71043883,Trả góp 0%                  Dell Inspiron 15 3520 i5 1235U (71043883)           RAM 16 GB SSD 512 GB  16.490.000₫  16.990.000₫  Quà 100.000₫,16 GB,512 GB,16.490.000,16.990.000,N/A,N/A,0
33,https://www.thegioididong.com/laptop/asus-tuf-gaming-a15-fa506nf-r5-hn012w,Trả góp 0%     Tặng Office              Asus TUF Gaming A15 FA506NF R5 7535HS (HN012W)           RAM 16 GB SSD 512 GB  16.990.000₫  20.990.000₫ -19%  Quà 1.090.000₫,16 GB,512 GB,16.990.000,20.990.000,-19%,1.090.000,0
34,https://www.thegioididong.com/laptop/hp-240-g9-i3-ag2j5at,Trả góp 0%     Tặng Office              HP 240 G9 i3 1215U (AG2J5AT)           RAM 8 GB SSD 512 GB  10.790.000₫  13.690.000₫ -21%  Quà 1.190.000₫,8 GB,512 GB,10.790.000,13.690.000,-21%,1.190.000,0
35,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh8-i7-83em003fvn,Trả góp 0%     Tặng Office              Lenovo Ideapad Slim 3 15IRH8 i7 13620H (83EM003FVN)           RAM 16 GB SSD 1 TB  17.390.000₫  19.490.000₫ -10%  Quà 1.090.000₫,16 GB,N/A,17.390.000,19.490.000,-10%,1.090.000,0
36,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,Trả góp 0%      Tặng Office              Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H (NX.KQ4SV.002)           RAM 16 GB SSD 512 GB  16.990.000₫  20.490.000₫ -17%  Quà 1.890.000₫,16 GB,512 GB,16.990.000,20.490.000,-17%,1.890.000,0
37,https://www.thegioididong.com/laptop/msi-thin-15-b12ucx-i5-2046vn?utm_flashsale=1,Trả góp 0%     Tặng Office              MSI Gaming Thin 15 B12UCX i5 12450H (2046VN)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 15.990.000₫  18.990.000₫ -15%  Quà 990.000₫,16 GB,512 GB,15.990.000,18.990.000,-15%,N/A,0
38,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005,Trả góp 0%     Tặng Office              Acer Aspire 5 A515 58M 56YX i5 13420H (NX.KQ8SV.005)           RAM 16 GB SSD 512 GB  14.990.000₫  17.490.000₫ -14%  Quà 1.090.000₫,16 GB,512 GB,14.990.000,17.490.000,-14%,1.090.000,0
39,https://www.thegioididong.com/laptop/lenovo-ideapad-5-14iah8-i5-83bf003wvn,Trả góp 0%     Tặng Office              Lenovo Ideapad Slim 5 14IAH8 i5 12450H (83BF003WVN)           RAM 16 GB SSD 1 TB  16.690.000₫  18.490.000₫ -9%  Quà 1.090.000₫,16 GB,N/A,16.690.000,18.490.000,-9%,1.090.000,0
40,https://www.thegioididong.com/laptop/dell-vostro-3530-i5-80gg93,Trả góp 0%                  Dell Vostro 3530 i5 1335U (80GG93)           RAM 16 GB SSD 512 GB  18.490.000₫  19.990.000₫ -7%  Quà 100.000₫,16 GB,512 GB,18.490.000,19.990.000,-7%,N/A,0
41,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w?utm_flashsale=1,Trả góp 0%      Tặng Office              Asus Vivobook 16 X1605VA i5 1335U (MB360W)           RAM 16 GB SSD 512 GB  Online giá rẻ quá 15.790.000₫  18.990.000₫ -16%  Quà 1.090.000₫,16 GB,512 GB,15.790.000,18.990.000,-16%,1.090.000,0
