id,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Độ phủ màu,Công nghệ màn hình,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Webcam,Tính năng khác,Đèn bàn phím,Kích thước,Khối lượng tịnh,Chất liệu,Thông tin Pin,Công suất bộ sạc,Hệ điều hành,Thời điểm ra mắt,Khe đọc thẻ nhớ,Tản nhiệt,Màn hình cảm ứng
305655,Intel Core i3 Alder Lake - 1215U,6,8,1.2GHz,N/A,10 MB,N/A,N/A,2666 MHz,16 GB,Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB),"15.6""",N/A,N/A,,N/A,Card tích hợp - Intel UHD Graphics,Realtek Audio,1 x USB 2.0,N/A,N/A,,Không có đèn,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm,1.83 kg,N/A,N/A,,Windows 11 Home SL + Office Home & Student vĩnh viễn,2022,N/A,,
311145,Intel Core i5 Raptor Lake - 1335U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,3200 MHz,16 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel Iris Xe Graphics,Audio by B&O,"1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)",N/A,N/A,,Không có đèn,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm,1.69 kg,Vỏ kim loại - Nắp lưng bằng nhựa,N/A,45 W,N/A,2023,,,
328950,Intel Core i9 Raptor Lake - 13900H,14,20,2.6GHz,Turbo Boost 5.40 GHz,24 MB,N/A,N/A,3200 MHz,24 GB,N/A,"15.6""",2.8K (2880 x 1620) - OLED,N/A,100% DCI-P3,Thời gian phản hồi 0.2 ms,Card tích hợp - Intel Iris Xe Graphics,N/A,1 x USB 2.0,Bluetooth 5.3,N/A,Lớp phủ ASUS Antimicrobial Guard,Không có đèn,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm,1.7 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2024,,,
313973,Intel Core i5 Raptor Lake - 13500H,12,16,2.6GHz,N/A,18 MB,N/A,N/A,5200 MHz,32 GB,N/A,"16.1""",N/A,N/A,45% NTSC,N/A,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",Audio by B&O,"1 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)",Bluetooth 5.3,Full HD Webcam,N/A,Đèn chuyển màu RGB - 1 vùng,Dài 369 mm - Rộng 259.4 mm - Dày 23.9 mm,2.34 kg,N/A,N/A,200 W,N/A,2023,,,
327507,Intel Core i7 Raptor Lake - 13620H,10,16,2.4GHz,N/A,24 MB,N/A,LPDDR5 (Onboard),4800 MHz,Không hỗ trợ nâng cấp,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel UHD Graphics,Acer Purified Voice,"1 x USB Type-C (hỗ trợ USB 4, DisplayPort và Thunderbolt 4)",N/A,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 362.9 mm - Rộng 237.5 mm - Dày 17.9 mm,1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,65 W,N/A,2024,,,
313176,Intel Core i5 Alder Lake - 12450H,8,12,2GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),"15.6""",N/A,N/A,,N/A,"Card rời - NVIDIA GeForce RTX 2050, 4 GB",Acer Purified Voice,"1 x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)",N/A,N/A,N/A,Đơn sắc,Dài 362.3 mm - Rộng 237.4 mm - Dày 19.9 mm,2.1 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,135 W,N/A,2023,,3 ống đồng,
324821,Intel Core Ultra 9 Meteor Lake - 185H,16,22,Hãng không công bố,N/A,24 MB,32 GB,LPDDR5X (Onboard),4800 MHz,Không hỗ trợ nâng cấp,N/A,"14""",2.8K (2880 x 1800) - OLED 16:10,N/A,100% DCI-P3,Thời gian phản hồi 0.2 ms,Card tích hợp - Intel Arc Graphics,N/A,"2 x Thunderbolt 4 (hỗ trợ Power Delivery, DisplayPort)",Bluetooth 5.3,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 312.4 mm - Rộng 220.1 mm - Dày 14.9 mm,1.2 kg,Vỏ kim loại - Nhôm,"4-cell Li-ion, 75 Wh",65 W,N/A,2024,,,
325588,Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.4GHz,N/A,24 MB,32 GB,N/A,5600 MHz,96 GB,N/A,"14""",2.8K (2880 x 1800) - OLED,N/A,100% DCI-P3,N/A,"Card rời - NVIDIA GeForce RTX 4060, 8 GB",N/A,"1 x USB Type-C (hỗ trợ USB, Power Delivery, DisplayPort và Thunderbolt 4)",Wi-Fi 7 (802.11be),Full HD Webcam,N/A,Đèn chuyển màu RGB - Per-Key,Dài 315.6 mm - Rộng 246.25 mm - Dày 21.8 mm,1.7 kg,Nắp lưng và mặt đáy bằng kim loại,"4-cell, 72Wh",240 W,N/A,,,Vapor Chamber Cooler,
326496,Intel Core i9 Raptor Lake - 14900HX,24,32,2.2GHz,Turbo Boost 5.80 GHz,36 MB,32 GB,N/A,5600 MHz,32 GB,N/A,"16""",N/A,N/A,100% DCI-P3,Low Blue Light,"Card rời - NVIDIA GeForce RTX 4070, 8 GB",N/A,"1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)",N/A,Full HD Webcam,AI Chip LA1,Đèn chuyển màu RGB - 4 vùng,Dài 363.4 mm - Rộng 261.75 mm - Dày 26.95 mm,2.5 kg,Vỏ nhựa - nắp lưng bằng kim loại,80 Wh,300 W,N/A,2024,,,
326558,Intel Core Ultra 7 Meteor Lake - 155H,16,22,3.8GHz,N/A,24 MB,32 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","14""","WUXGA, OLED",N/A,100% DCI-P3,Chuẩn DisplayHDR True Black 500,Card tích hợp - Intel Arc Graphics,N/A,2 x USB Type-C 3.2 (hỗ trợ Power Delivery 3.0 và DisplayPort 1.4),N/A,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 312 mm - Rộng 221 mm - Dày 16.9 mm,1.48 kg,Vỏ kim loại - Nhôm,N/A,65 W,N/A,2024,N/A,,
328130,Intel Core Ultra 7 Meteor Lake - 155U,12,14,1.7GHz,N/A,12 MB,N/A,DDR5 2 khe (1 khe 16 GB + 1 khe rời),5600 MHz,64 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","14""",N/A,N/A,45% NTSC,Low Blue Light,Card tích hợp - Intel Graphics,N/A,"1 x USB-C (hỗ trợ Thunderbolt 4 / USB4, USB Power Delivery 3.1 and DisplayPort 2.1)",Bluetooth 5.3,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 313.5 mm - Rộng 224 mm - Dày 16.9 mm,1.38 kg,Vỏ kim loại - Nhôm,N/A,65 W,N/A,2024,N/A,,
325244,Intel Core 7 Raptor Lake - 150U,10,12,Hãng không công bố,Turbo Boost 5.40 GHz,12 MB,N/A,N/A,5200 MHz,32 GB,N/A,"14""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel Graphics,Realtek Audio,1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4),N/A,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 314 mm - Rộng 226.15 mm - Dày 18.07 mm,1.67 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2023,N/A,,
321193,Intel Core i5 Alder Lake - 1235U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,2666 MHz,16 GB,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),"15.6""",N/A,N/A,,N/A,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),Realtek Audio,1 x USB 2.0,N/A,N/A,,Không có đèn,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm,1.9 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2022,N/A,,
329333,AMD Ryzen AI 9 - HX 370,12,24,2GHz,N/A,24 MB,32 GB,LPDDR5X (Onboard),7500 MHz,Không hỗ trợ nâng cấp,N/A,"16""",3.2K (3200 x 2000) OLED 16:10,N/A,100% DCI-P3,Thời gian phản hồi 0.2 ms,Card tích hợp - AMD Radeon Graphics,N/A,1 x USB Type-C USB 4 (hỗ trợ DisplayPort và Power Delivery),Bluetooth 5.3,Full HD Webcam,N/A,Đèn chuyển màu RGB - 1 vùng,Dài 353.6 mm - Rộng 246.9 mm - Dày 13.9 mm,1.5 kg,Vỏ kim loại - Nhôm,"4-cell Li-ion, 75 Wh",90 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2024,N/A,,
313332,Intel Core i7 Alder Lake - 12700H,14,20,2.30 GHz,N/A,24 MB,N/A,N/A,3200 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",N/A,N/A,,N/A,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",Spatial Audio,"1 x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)",N/A,N/A,,Đèn chuyển màu RGB - 4 vùng,Dài 360.4 mm - Rộng 271.09 mm - Dày 25.9 mm,2.5 kg,N/A,N/A,180 W,N/A,2022,,,
315911,Intel Core i5 Raptor Lake - 1335U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel Iris Xe Graphics,Audio by B&O,"1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)",N/A,N/A,,Không có đèn,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm,1.74 kg,Vỏ kim loại - Nắp lưng bằng nhựa,N/A,45 W,N/A,2023,,,
326823,Intel Core Ultra 5 Meteor Lake - 125U,12,14,1.3GHz,N/A,12 MB,N/A,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,N/A,"14""",2.8K (2880 x 1800) - OLED 16:10,N/A,100% DCI-P3,Thời gian phản hồi 0.2 ms,Card tích hợp - Intel Graphics,N/A,2 x USB Type-A,Bluetooth 5.3,Camera IR 5 MP,Màn hình gập 360 độ,Đơn sắc - Màu trắng,Dài 313.3 mm - Rộng 218.9 mm - Dày 16.9 mm,1.39 kg,N/A,"3-cell Li-ion, 59 Wh",65 W,N/A,2024,,,N/A
311015,AMD Ryzen 7 - 7730U,8,16,2GHz,N/A,16 MB,N/A,N/A,3200 MHz,Không hỗ trợ nâng cấp,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - AMD Radeon Graphics,2 x 2W Speaker,1 x USB Type-C (chỉ hỗ trợ Power Delivery),N/A,N/A,N/A,Đơn sắc - Màu trắng,Dài 359 mm - Rộng 241 mm - Dày 19.9 mm,1.75 kg,N/A,"3-Cell, 39.3 Wh",65 W,N/A,2023,N/A,,
271044,Intel Core i5 Tiger Lake - 1135G7,4,8,2.4GHz,N/A,8 MB,N/A,N/A,2666 MHz,20 GB,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),"14""",N/A,N/A,,N/A,Card tích hợp - Intel Iris Xe Graphics,N/A,N/A,N/A,N/A,,Đơn sắc - Màu trắng,Dài 328 mm - Rộng 223 mm - Dày 17.95 mm,1.46 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,45 W,N/A,2021,,,
312871,AMD Ryzen 5 - 7520U,4,8,2.8GHz,N/A,4 MB,N/A,N/A,3200 MHz,Không hỗ trợ nâng cấp,N/A,"14""",N/A,N/A,,N/A,Card tích hợp - AMD Radeon Graphics,N/A,N/A,Bluetooth 5.3,N/A,,Không có đèn,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm,1.36 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,45 W,N/A,2023,,,
327406,Intel Core i5 Raptor Lake - 1335U,10,12,1.3GHz,N/A,12 MB,N/A,N/A,3200 MHz,32 GB,N/A,"15.6""",N/A,N/A,45% NTSC,N/A,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),N/A,1 x Headphone/microphone combo,Bluetooth 5.3,N/A,N/A,Đơn sắc - Màu trắng,Dài 359.4 mm - Rộng 233.9 mm - Dày 19.9 mm,1.72 kg,N/A,N/A,65 W,N/A,2023,,,
320552,Intel Core i9 Raptor Lake - 13900H,14,20,2.6GHz,Turbo Boost 5.40 GHz,24 MB,N/A,N/A,3200 MHz,16 GB,N/A,"15.6""",Full HD (1920 x 1080) OLED,N/A,100% DCI-P3,Thời gian phản hồi 0.2 ms,Card tích hợp - Intel Iris Xe Graphics,N/A,1 x USB 2.0,Bluetooth 5.3,N/A,N/A,Không có đèn,Dài 356.8 mm - Rộng 227.6 mm - Dày 19.9 mm,1.7 kg,N/A,N/A,65 W,N/A,2023,,,
322959,Intel Core Ultra 7 Meteor Lake - 155H,16,22,1.4GHz,N/A,24 MB,32 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,N/A,"13.3""",2.8K (2880 x 1800) - OLED 16:10,N/A,100% DCI-P3,Chuẩn DisplayHDR True Black 500,Card tích hợp - Intel Arc Graphics,N/A,"2 x USB Type-C (hỗ trợ USB, Power Delivery, DisplayPort và Thunderbolt 4)",Wi-Fi 7 (802.11be),Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 299 mm - Rộng 210 mm - Dày 16.9 mm,0.99 kg,N/A,"4-cell Li-ion, 75 Wh",65 W,N/A,2024,N/A,,
325050,Intel Core Ultra 5 Meteor Lake - 125H,14,18,Hãng không công bố,N/A,18 MB,N/A,LPDDR5X (Onboard),6400 MHz,Không hỗ trợ nâng cấp,N/A,"14""",2.8K (2880 x 1800),N/A,100% sRGB,N/A,Card tích hợp - Intel Arc Graphics,Acer Purified Voice,"2 x USB Type-C (hỗ trợ USB 4, Thunderbolt 4)",Bluetooth 5.3,QHD Webcam,N/A,Đơn sắc - Màu trắng,Dài 312.9 mm - Rộng 217.9 mm - Dày 14.9 mm,1.32 kg,Vỏ kim loại - Nhôm,N/A,100 W,N/A,2024,N/A,,
329111,AMD Ryzen 7 - 8845HS,8,16,3.8GHz,N/A,16 MB,32 GB,N/A,5600 MHz,64 GB,N/A,"16""",N/A,N/A,100% sRGB,350 nits,"Card rời - NVIDIA GeForce RTX 4060, 8 GB",N/A,"1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)",Bluetooth 5.3,Full HD Webcam,AI Chip LA1,Đèn chuyển màu RGB - 4 vùng,Dài 359.7 mm - Rộng 260.5 mm - Dày 21.9 mm,2.3 kg,Vỏ nhựa - nắp lưng bằng kim loại,80 Wh,230 W,N/A,2024,N/A,,
330164,Intel Core i5 Raptor Lake - 13500H,12,16,2.6GHz,N/A,18 MB,N/A,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,N/A,"14""",2.8K (2880 x 1800) - OLED,90 Hz,100% DCI-P3,N/A,Card tích hợp - Intel Iris Xe Graphics,Acer Purified Voice,"2 x USB Type-C (hỗ trợ USB 4, Thunderbolt 4)",N/A,QHD Webcam,N/A,Đơn sắc - Màu trắng,Dài 312.9 mm - Rộng 217.9 mm - Dày 14.9 mm,1.3 kg,Vỏ kim loại - Nhôm,N/A,100 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2023,N/A,,
326863,Intel Core 7 Raptor Lake - 150U,10,12,Hãng không công bố,Turbo Boost 5.40 GHz,12 MB,N/A,N/A,5200 MHz,32 GB,N/A,"16""",Full HD+,N/A,45% NTSC,N/A,Card tích hợp - Intel Graphics,Realtek Audio,1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4),Bluetooth 5.3,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 356.78 mm - Rộng 249.52 mm - Dày 17.37 mm,1.98 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2024,N/A,,
327898,Intel Core i7 Raptor Lake - 13620H,10,16,2.4GHz,N/A,24 MB,N/A,N/A,4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","15.6""",N/A,N/A,100% sRGB,N/A,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",N/A,"1 x USB 3.2 Gen 2 Type-C (hỗ trợ DisplayPort, Power delivery, G-SYNC)",N/A,N/A,MUX Switch,Đèn chuyển màu RGB - 1 vùng,Dài 354 mm - Rộng 251 mm - Dày 24.9 mm,2.2 kg,Vỏ nhựa - nắp lưng bằng kim loại,N/A,240 W,N/A,2024,,,
311117,Intel Core i5 Raptor Lake - 13500H,12,16,2.6GHz,N/A,18 MB,N/A,N/A,3200 MHz,24 GB,N/A,"14""",2.8K (2880 x 1800) - OLED 16:10,90 Hz,100% DCI-P3,Thời gian phản hồi 0.2 ms,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",N/A,N/A,Bluetooth 5,N/A,Lớp phủ ASUS Antimicrobial Guard,Đơn sắc - Màu trắng,Dài 317.1 mm - Rộng 222.5 mm - Dày 18.9 mm,1.4 kg,N/A,N/A,90 W,N/A,2023,,Tản nhiệt ASUS IceCool Plus,
328947,Intel Core 7 Raptor Lake - 150U,10,12,Hãng không công bố,Turbo Boost 5.40 GHz,12 MB,N/A,DDR5 2 khe (1 khe 8 GB onboard + 1 khe 8 GB),5200 MHz,24 GB,N/A,"16""",N/A,N/A,,ComfortView Plus,"Card rời - NVIDIA Geforce MX570A, 2 GB",Realtek Audio,1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort 1.4),Bluetooth 5.3,Full HD Webcam,N/A,Đơn sắc - Màu trắng,Dài 356.7 mm - Rộng 249.5 mm - Dày 19 mm,1.87 kg,N/A,N/A,65 W,Windows 11 Home SL + Office Home & Student vĩnh viễn,2024,N/A,,
322003,Intel Core i5 Raptor Lake - 1335U,10,12,1.3GHz,N/A,12 MB,N/A,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,N/A,"14""",N/A,N/A,,N/A,Card tích hợp - Intel Iris Xe Graphics,Acer Purified Voice,N/A,N/A,N/A,N/A,Không có đèn,Dài 318.8 mm - Rộng 225.5 mm - Dày 17.99 mm,1.5 kg,N/A,N/A,,N/A,2023,,,
